Name,Workstream,What it is,Action URL,Cost (to organizer),Self-service level,How to submit a call,Effort/time,Audience/reach,Geography,Best for,Cadence fit,Notes/gotchas,utm_source (lowercase slug),Source URL & date verified
Art Opportunities Monthly,Open-Call Listing,"Listing platform where organizations POST open calls (grants, juried shows, public art); links out to your own submission URL.",https://artopportunities.org/posts/create,Free,Instant web form,"Use the public 'Create Post' web form (no account) — enter call title, deadline, description and your external submission link; it publishes to the feed.",Low,"Thousands of working artists; site features over 6,900 organizations and 18,000+ total opportunities (Art Opportunities).",Global,"open call, exhibition, grant",one-off post,Free to post your own call and link to your external submission page. No requirement to use their submission system.,artopportunitiesmonthly,https://artopportunities.org/page/faq (2026-06-12)
Art3000 (Call for Artists),Open-Call Listing,Free art portal where anyone can submit a Call for Artists / Call for Entries with no registration required.,https://www.art-3000.com/call_for_artists/,Free (no registration),Instant web form,"Go to the 'Submit Call for Artists / Call for Entries' page → fill the public web form (title, deadline, description, your external submission URL) → submit. No registration needed; appears on the Call for Artists archive.",Low,Artists browsing Art3000's Call for Artists archive,US / Global,"open call, exhibition",one-off post,Confirmed free by NOT REAL ART team (Kirsten). Submission is free and requires no account; links to your own submission page. Optional free art gallery for displaying works (needs name/alias + email).,art3000,https://www.art-3000.com/call_for_artists/ (2026-06-25)
ArtCallEntry,Open-Call Listing,"Free searchable database + newsletter where organizations advertise their calls for entry, linking out to their own site.",https://artcallentry.com/calls/add,Free (featured placement / email ads paid — contact for rates),Instant web form,"Go to 'Submit a Call (Free)' → fill the 'Add a New Opportunity' form (title, your external website URL, description, contact) → submit → click the confirmation link in the verification email to publish.",Low,Artists browsing ArtCallEntry's database + newsletter subscribers,US / Global,"open call, exhibition",one-off post,Completely free for art organizations to advertise a call for entry online; links to your external submission URL. Sign up for their newsletter audience too. (Featured placement / email ads are paid — contact for rates.),artcallentry,https://artcallentry.com/calls/add (2026-06-18)
ArtDeadline.Com,Open-Call Listing,Major opportunity directory where arts organizations POST their own open calls; artists click through to your submission URL.,https://artdeadline.com/adc-news/,Free (if artist entry fee ≤ $50) or $10/listing,Instant web form,Submit your call via their listing form (free if artist entry fee ≤ $50). Enter details + your external submission URL; staff posts it to the ADC news feed.,Low,Thousands of artists and art institutions worldwide (ArtDeadline.Com),Global,"open call, exhibition, grant",one-off post,Free if your call's artist entry fee is $50 or less and not internet-only; otherwise $10. You link out to your own submission page (notrealart.com / artsvilleusa.com). High-impact ad upgrades from $40.,artdeadlinecom,https://artdeadline.com/adc-news/ (2026-06-12)
College Art Association (CAA),Partner Org/Council,"A professional association for the visual arts that provides a platform to post calls for entries, grants, and exhibition opportunities, as well as a separate job board.",https://www.collegeart.org/jobs-and-opportunities/opportunities/submit/,Free (CAA),Instant web form,Members submit via the 'Submit an Opportunity' form — fill in the call details and link to your own application page; CAA publishes it to the Opportunities board.,Low,"Thousands of artists, scholars, museum professionals, and educators in the visual arts community (CAA)",Global (CAA),"open call, exhibition, grant",one-off post,"Submitting 'Opportunities' (calls for entries, grants, residencies, etc.) is free via a web form. Employment job listings are separate and require a fee starting at $590 for non-members via the Career Center.",collegeartassociation,https://www.collegeart.org/jobs-and-opportunities/opportunities/submit/ (2026-06-12)
GivingTuesday,Fundraising/Grants/Donor,A global generosity movement and annual day of giving (the Tuesday after Thanksgiving).,https://www.givingtuesday.org/givingtuesday-toolkit-for-nonprofits/,Free,Instant web form,,Low,Millions of donors globally; $3.1 billion raised in the US in 2022 (GivingTuesday),Global,"donor, press, grant",recurring roundup,There is no central registration or master directory for nonprofits; organizations are encouraged to run their own independent campaigns using the provided toolkit and resources. (GivingTuesday FAQ),givingtuesday,https://www.givingtuesday.org/about/faq/ (2026-06-12)
InLiquid,Partner Org/Council,A nonprofit organization that provides resources and exhibition opportunities for artists and the arts community in Philadelphia.,https://airtable.com/shr71MjNIYSvdudC6,Free,Instant web form,Complete InLiquid's Airtable intake form with your open-call details and external submission URL; the team reviews and posts it.,Low,"Approx. 120+ artists per event and 2,000+ residents at certain locations; reaches the Philadelphia arts community (InLiquid).","US region/state (Philadelphia, PA)","open call, exhibition, grant, press",one-off post,"Submissions are for posting opportunities like exhibitions, grants, and residencies on InLiquid's platform. The submission is done via an Airtable form and likely undergoes manual review before being posted. (InLiquid Opportunities)",inliquid,https://airtable.com/shr71MjNIYSvdudC6 (2026-06-12)
OpenCall.ca,Open-Call Listing,"Curated, continuously-updated index of art grants, open calls, exhibitions and residencies worldwide; community-submitted.",https://opencall.ca/,Free (community contribution; optional donation),Instant web form,"Click '+ SUBMIT' in the header → fill the 'Submit an Opportunity' form (Title, Organisation, Type, Deadline, Official URL = your submission page) → 'Submit for Review' → appears live after curation.",Low,Artists browsing OpenCall.ca's curated global opportunity index,Canada / Global,"open call, exhibition",one-off post,Canadian-based but features international opportunities. No account needed; listing reviewed before going live and links to your official URL. Has a Donate button but no posting fee.,opencallca,https://opencall.ca/ (2026-06-25)
Mid-America Arts Alliance (M-AAA),Fundraising/Grants/Donor,"A regional arts organization that provides grants, programs, and exhibitions to support the arts in a six-state region.",https://maaa.tfaforms.net/4988526,Free,Instant web form,,Medium,"Artists and arts organizations across a six-state US region (AR, KS, MO, NE, OK, TX); over $2 million in funding provided since 2012 (Mid-America Arts Alliance).","US region (AR, KS, MO, NE, OK, TX)","grant, open call",always-on,"Grant applications require 501(c)(3) status, a Unique Entity Identifier (UEI) from SAM.gov, and often a dollar-for-dollar match (Mid-America Arts Alliance). Regional Touring Program applications are rolling within the fiscal year.",midamericaartsalliance,https://www.maaa.org/for-organizations/regional-touring-program/ (2026-06-12)
All About Photo,Open-Call Listing,Photography portal where organizations POST photo contests/open calls; links out to your own submission URL (photo-focused).,https://www.all-about-photo.com/link-back.php,Free (reciprocal backlink required),Account required,"Register, add a reciprocal backlink to All About Photo on your site, then submit your photo call via your account; links out to your submission page.",Low,Thousands of photography lovers and experts (estimate from site),Global,"open call, exhibition, press",one-off post,Free if you add a reciprocal backlink. Photo-focused audience. Links to your own submission page.,allaboutphoto,https://www.all-about-photo.com/link-back.php (2026-06-12)
